Contents,CoreID,N,d15N,C,d13C
Blades,YM2A_2_20_2,1.664187103,-0.550884138,41.59937448,-7.939703264
Blades,YM2A_2_20_3,1.538594112,-0.049559727,40.92445504,-8.08317571
Blades,YM2A_3_1_1,1.579565584,-0.398138645,42.92981466,-8.181097382
Blades,YM2A_3_1_2,1.630017651,-0.279870881,41.59700957,-8.547996609
Blades,YM2A_3_1_3,1.650284664,-0.126280132,42.41373086,-7.993437834
Blades,YM2A_3_20_1,1.484080669,-0.191960387,41.02777058,-7.593363289
Blades,YM2A_3_20_2,1.538459436,-0.810365246,42.8255024,-7.732993266
Blades,YM2A_3_20_3,1.646764005,0.198079279,41.16916748,-7.027911395
Blades,YM2B_1_1_1,1.436574035,0.752853405,41.20665444,-8.289896242
Blades,YM2B_1_1_2,1.29045094,0.336559133,40.94171632,-8.982343279
Blades,YM2B_1_1_3,1.431286957,0.501448306,41.27833073,-9.114564424
Blades,YM2B_1_20_2,1.346821253,-0.274141511,40.505822,-7.644461169
Blades,YM2B_1_20_3,1.433626262,-0.006451062,41.69332442,-7.702246707
Blades,YM2B_2_1_1,1.580851868,0.119243219,41.61066819,-8.926200017
Blades,YM2B_2_1_2,1.392402126,0.56972337,40.95158694,-10.68744798
Blades,YM2B_2_1_3,1.727648429,0.307366984,40.84004757,-8.318668415
Blades,YM2B_2_20_1,1.398177106,0.145682235,40.48086679,-8.525466631
Blades,YM2B_2_20_2,1.60110886,0.198560266,42.41541874,-8.84803227
Blades,YM2B_2_20_3,1.445997887,-0.338355128,41.06365546,-8.310752694
Blades,YM2B_3_1_1,1.659456491,-0.15558363,41.96471641,-8.785664655
Blades,YM2B_3_1_2,1.762002411,0.571951498,42.28186926,-9.226340824
Blades,YM2B_3_1_3,1.553039095,0.645715476,41.24210802,-8.865877621
Blades,YM2B_3_20_1,1.405965897,-0.683046598,42.23792522,-8.912420946
Blades,YM2B_3_20_2,1.49169002,-0.824511762,41.28470044,-7.696352776
Blades,YM2B_3_20_3,1.481387652,-0.984165304,41.80421621,-8.061767397
Blades,YM2C_1_1_1,1.395949286,0.822066145,38.92886009,-11.18602904
Blades,YM2C_1_1_2,1.481721411,0.705015188,39.39047233,-11.21834976
Blades,YM2C_1_1_3,1.590207009,-0.028843419,42.3920024,-10.25852219
Blades,YM2C_1_20_1,1.543740282,-0.981742117,40.81882767,-8.226877672
Blades,YM2C_1_20_2,1.724735204,-0.761510498,41.42374769,-7.559472758
Blades,YM2C_1_20_3,1.884160575,-0.235401632,43.13412597,-7.529002136
Blades,YM2C_2_1_1,2.069231191,1.219513023,42.28394047,-12.28840259
Blades,YM2C_2_1_2,1.877215931,0.924616311,41.83870267,-13.72510599
Blades,YM2C_2_1_3,1.958696111,0.924616311,41.95761197,-13.02951199
Blades,YM2C_2_20_1,1.420153931,-0.0170194,41.67186554,-7.242130334
Blades,YM2C_2_20_2,1.290139353,0.685648285,41.22688947,-7.65275837
Blades,YM2C_2_20_3,1.551726531,-0.376996766,41.04478127,-7.458823201
Blades,YM2C_3_1_1,1.98513947,1.098404,42.74383885,-10.1235377
Blades,YM2C_3_1_2,2.021361222,0.454737505,42.35076946,-10.80683333
Blades,YM2C_3_1_3,1.915275099,0.35571189,41.40965637,-11.54063343
Blades,YM2C_3_20_1,1.50763641,-0.49813142,41.525789,-7.614159243
Blades,YM2C_3_20_2,1.443175205,-1.292357268,41.42211344,-6.786282215
Blades,YM2C_3_20_3,1.489845619,-0.563811674,41.94586478,-6.616943732
Blades,YM2D_1_1_1,1.784384383,1.412257144,42.05424468,-11.90104493
Blades,YM2D_1_1_2,1.634256103,1.252181385,41.63899917,-11.85976215
Blades,YM2D_1_1_3,1.700583412,0.759719015,40.74552517,-11.56586809
Blades,YM2D_1_20_1,1.389715946,-0.369987621,39.69170877,-7.983112696
Blades,YM2D_1_20_3,1.433793433,0.297844371,41.35684037,-7.634174928
Blades,YM2D_2_1_1,1.840709984,0.949021556,41.71969626,-12.81380859
Blades,YM2D_2_1_1,1.831201191,0.974443686,42.35384183,-12.67924132
Blades,YM2D_2_1_1,1.846294036,1.021220406,41.85957448,-12.79302982
Blades,YM2D_2_1_2,1.814337352,0.253472068,39.9094571,-11.23660114
Blades,YM2D_2_1_3,2.02867271,1.605929406,42.89268131,-11.71847067
Blades,YM2D_2_20_1,1.467707984,0.112125023,41.07987708,-7.989176521
Blades,YM2D_2_20_2,1.486382752,0.962241064,40.85346387,-7.617137625
Blades,YM2D_2_20_3,1.489704592,0.627685827,40.89437201,-7.620106021
Blades,YM2D_3_1_1,1.708152608,0.636688836,42.39933851,-9.86136311
Blades,YM2D_3_1_1,1.725321324,0.637704705,42.3762374,-9.574733775
Blades,YM2D_3_1_1,1.722625843,0.600117567,42.46431535,-10.69249232
Blades,YM2D_3_1_1,1.736494127,0.731164616,42.32417857,-10.26398626
Blades,YM2D_3_1_1,1.715516266,0.59808583,42.25824187,-9.980232801
Blades,YM2D_3_1_1,1.715944573,0.640752311,42.16466043,-9.643754886
Blades,YM2D_3_1_1,1.767525812,0.582847801,42.65928657,-10.52664993
