"","timestep","ag_biomass","bg_biomass","ag_production","bg_production","distance","xy_int"
"17746",37752,926.31,1517.7591859146,377.062989055354,1.13850720193841,1,"1.5.-0.5"
"17747",37764,926.31,1517.77065162069,343.751842276077,1.13739282404185,1,"1.5.-0.5"
"17748",37776,926.31,1517.78197659317,340.039660935639,1.1372696342396,1,"1.5.-0.5"
"17749",37788,926.31,1517.79332407152,341.208578199497,1.13730946873693,1,"1.5.-0.5"
"17750",37800,926.31,1517.80464795167,340.996017856,1.13730323372693,1,"1.5.-0.5"
"17751",37812,926.31,1517.81683768973,367.549990434141,1.13818641884973,1,"1.5.-0.5"
"17752",37824,926.31,1517.8295317388,383.326859260909,1.13870938211312,1,"1.5.-0.5"
"17753",37836,926.31,1517.84092542144,344.691997968068,1.13742843977798,1,"1.5.-0.5"
"17754",37848,926.31,1517.85226785841,343.647770100972,1.13739462856302,1,"1.5.-0.5"
"17755",37860,926.31,1517.8636006801,343.858425663901,1.13740236944795,1,"1.5.-0.5"
"17756",37872,926.31,1517.87497069661,345.488406836172,1.13745690585256,1,"1.5.-0.5"
"17757",37884,926.31,1517.88670938692,357.191256828606,1.13784297829625,1,"1.5.-0.5"
"17758",37896,926.31,1517.89934007623,384.862851643935,1.13875294023273,1,"1.5.-0.5"
"17759",37908,926.31,1517.91089541296,352.729927512992,1.13769691570451,1,"1.5.-0.5"
"17760",37920,926.31,1517.92211025702,342.867977003916,1.13737410568956,1,"1.5.-0.5"
"17761",37932,926.31,1517.93342295147,346.355046171579,1.13748911782568,1,"1.5.-0.5"
"17762",37944,926.31,1517.94466247454,344.62306856038,1.13743325804717,1,"1.5.-0.5"
"17763",37956,926.31,1517.95622669262,355.074810959108,1.13777515283255,1,"1.5.-0.5"
"17764",37968,926.31,1517.96876415397,385.476375683851,1.13876609289036,1,"1.5.-0.5"
"17765",37980,926.31,1517.98044887688,359.889712753007,1.13793254074608,1,"1.5.-0.5"
"17766",37992,926.31,1517.99167313236,346.259060345474,1.13748995481001,1,"1.5.-0.5"
"17767",38004,926.31,1518.00278283578,343.231994031288,1.13739257970155,1,"1.5.-0.5"
"17768",38016,926.31,1518.01389710174,343.868525371538,1.1374141440192,1,"1.5.-0.5"
"17769",38028,926.31,1518.02526597771,352.238609364955,1.13768576292659,1,"1.5.-0.5"
"17770",38040,926.31,1518.03736509808,375.373732235457,1.13843340599487,1,"1.5.-0.5"
"17771",38052,926.31,1518.04941686198,374.496686603816,1.13840456588332,1,"1.5.-0.5"
"17772",38064,926.31,1518.06047623775,344.256487112376,1.13743062179583,1,"1.5.-0.5"
"17773",38076,926.31,1518.07159393969,346.567743518914,1.13750587339382,1,"1.5.-0.5"
"17774",38088,926.31,1518.08276738779,348.807597837062,1.13757863436877,1,"1.5.-0.5"
"17775",38100,926.31,1518.0938475508,346.406241864839,1.13750244954463,1,"1.5.-0.5"
"17776",38112,926.31,1518.1064704492,395.112759985786,1.13906214254712,1,"1.5.-0.5"
"17777",38124,926.31,1518.11863354658,381.37476656161,1.13862166037416,1,"1.5.-0.5"
"17778",38136,926.31,1518.12973442344,348.683990510472,1.13757805516434,1,"1.5.-0.5"
"17779",38148,926.31,1518.14081105744,348.430194189365,1.1375708020405,1,"1.5.-0.5"
"17780",38160,926.31,1518.15180260743,346.261372077512,1.13750267078922,1,"1.5.-0.5"
"17781",38172,926.31,1518.16278013428,346.319350117992,1.13750547031486,1,"1.5.-0.5"
"17782",38184,926.31,1518.17476469709,378.570716544171,1.13852930760277,1,"1.5.-0.5"
"17783",38196,926.31,1518.18700773249,387.329725043324,1.13880612294543,1,"1.5.-0.5"
"17784",38208,926.31,1518.19805819606,350.231470562227,1.13763228963035,1,"1.5.-0.5"
