"Reef","Block","Treatment","Transect","Distance","Core","agweight","bgweight","corebladeaream2","shootsm2","corebladeweightm2","coreprodweight"
"YM3C","3","C",1,20,3,54.43,454.65,347450,500,17.24,0.345946939326512
"YM3C","3","C",2,1,1,363.58,758.69,3954000,1500,161.24,3.64901397502105
"YM3C","3","C",2,1,2,406.45,693.89,5004175,2300,207.69,3.6054664738881
"YM3C","3","C",2,1,3,242.06,553.64,2443350,1300,99.41,2.83918451408708
"YM3C","3","C",2,20,1,75.52,636.35,452400,800,20.15,0.563342633700056
"YM3C","3","C",2,20,2,231.63,889.36,1381300,1200,64.42,1.55914200830401
"YM3C","3","C",2,20,3,146.8,322.6,1061900,600,49.59,0.983692493731639
"YM3C","3","C",3,1,1,186.17,590.25,2212700,900,87.15,2.51634918248504
"YM3C","3","C",3,1,2,82.72,706.28,773225,500,27.36,0.758494614556964
"YM3C","3","C",3,1,3,330.37,1105.26,4143225,1400,153.6,4.15321468523621
"YM3C","3","C",3,20,1,36.32,482.45,287600,500,13.55,0.51638226010101
"YM3C","3","C",3,20,2,75.43,602.67,551875,700,26.36,0.417611058002137
"YM3C","3","C",3,20,3,62.41,484.63,642725,500,34.69,0.687593411257508
"YM3D","3","D",1,1,1,533.3,889.58,5617850,2300,227.48,8.83836111020445
"YM3D","3","D",1,1,2,208.09,477.51,2213050,800,88.71,2.52704298591957
"YM3D","3","D",1,1,3,308.25,570.69,3109400,1300,128.61,3.92446969460972
"YM3D","3","D",1,20,1,52.8,510.91,250100,200,12.79,0.214600751361315
"YM3D","3","D",1,20,2,67.6,383.65,472175,600,24.51,1.20108722493279
"YM3D","3","D",1,20,3,134.75,716.07,651350,700,34.74,0.83810607528028
"YM3D","3","D",2,1,1,366.03,360.06,4248150,1100,173.96,4.21906725414595
"YM3D","3","D",2,1,2,356.96,357.07,4892850,1100,202.93,4.96608576503339
"YM3D","3","D",2,1,3,549.86,499.81,7281550,1300,310.78,5.9009709930561
"YM3D","3","D",2,20,1,180.26,767.11,909975,1400,47.29,1.36501119337549
"YM3D","3","D",2,20,2,161.37,606.78,1027425,1200,49.42,1.24965987898948
"YM3D","3","D",2,20,3,93.75,988.49,472900,700,23.81,0.517453939218695
"YM3D","3","D",3,1,1,336.26,89.41,6397275,900,260.34,6.02336252239484
"YM3D","3","D",3,1,2,353.86,564.16,5064250,1000,181.63,4.21643461489995
"YM3D","3","D",3,1,3,136.29,255.73,1993800,500,76.79,1.75268760681136
"YM3D","3","D",3,20,1,115.22,539.19,1008800,1100,52.9,1.00557797446077
"YM3D","3","D",3,20,2,186.21,706.66,1544875,1600,73.72,1.22967239839605
"YM3D","3","D",3,20,3,46.97,464.7,343950,600,15.44,0.494073289687401
"YM4A","4","A",1,1,1,79.2,533.28,713075,500,33.24,0.468582636121767
"YM4A","4","A",1,1,2,32.17,320.06,186650,700,7.87,0.414966671066526
"YM4A","4","A",1,1,3,115.18,451.22,636700,1000,28.37,0.475448180680624
"YM4A","4","A",1,20,1,391.6,1533.48,2066800,2500,96.22,2.27544083927066
"YM4A","4","A",1,20,2,115.24,867.14,507750,700,23.28,0.686721106489355
"YM4A","4","A",2,1,1,145.64,437.84,1119000,1300,51.75,0.8660125738626
"YM4A","4","A",2,1,2,55.83,276.7,530050,700,23.81,0.737069666926314
"YM4A","4","A",2,1,3,106.21,428.7,872200,1300,41.33,0.773666233551338
