SampleID,N,d15N,C,d13C
YM1B_3_20_2_S,0.826213936,0.504034349,37.57056666,-7.047289224
YM1B_3_20_3_Rt,0.916267212,0.43089594,36.86481042,-6.660719453
YM1B_3_20_3_Rz,0.559464614,-0.105118431,33.63251612,-7.181179275
YM1B_3_20_3_S,0.800302257,1.154264866,38.40158368,-7.417751922
YM1C_1_1_1_Rt,0.887473587,1.178837615,35.04216831,-7.294571987
YM1C_1_1_1_Rz,0.647660066,1.60491252,36.98226126,-9.621794016
YM1C_1_1_1_S,0.974107497,3.258367882,36.96993506,-10.42128186
YM1C_1_1_2_Rt_1,0.845570721,0.307209549,33.14231848,-7.946894508
YM1C_1_1_2_Rz_1,1.06555251,1.918901951,35.43190478,-10.37705028
YM1C_1_1_2_S_1,0.959043311,2.492846329,30.89719785,-9.531348151
YM1C_1_1_3_Rt,0.887990148,1.216462368,34.26038789,-7.557769716
YM1C_1_1_3_Rz,0.688171322,1.785918089,37.23661269,-8.663002287
YM1C_1_1_3_S,1.079994018,2.026919885,35.53406564,-11.1069812
YM1C_1_20_1_Rt,0.72292825,-0.035694126,36.28033771,-6.736059741
YM1C_1_20_1_Rz,0.50056389,0.224175533,34.66006221,-7.299159228
YM1C_1_20_1_S,0.796458956,-0.725622594,38.40332905,-7.812864023
YM1C_1_20_2_Rt,0.644235981,-0.536070607,35.05638974,-7.027488423
YM1C_1_20_2_Rz,0.400716948,-0.222188823,35.78370885,-7.765445118
YM1C_1_20_2_S,0.662387743,-0.300659269,36.42570697,-7.383130204
YM1C_1_20_3_Rt,0.680287509,-0.570828826,34.23591023,-6.609429189
YM1C_1_20_3_Rz,0.430097942,-0.549517369,34.65564907,-7.626096535
YM1C_1_20_3_S,0.71945358,-0.458619258,34.71119355,-7.502665358
YM1C_2_1_1_Rt,0.78986375,-0.359697652,36.51034891,-7.973632163
YM1C_2_1_1_Rz,0.471723453,1.006451644,35.56223264,-7.935011106
YM1C_2_1_1_S,0.846747456,1.426805274,36.69759883,-11.30098481
YM1C_2_1_2_Rt,0.751828855,0.592160807,35.04471761,-7.994428117
YM1C_2_1_2_Rz,0.676333236,0.855892291,35.86312078,-9.660085009
YM1C_2_1_2_S,0.832415779,0.810421346,36.17863173,-10.10670288
YM1C_2_1_3_Rt,0.818239074,0.718468989,35.40470924,-8.017204638
